,ROIinitiale,ROIordo,XM,YM,Ligne,Oscillations,iDissolution,iNUC,iSAT,iMATCHestime,iMATCHmed,iNUCsigma,iMATCHmedsigma,iDissolutionsigma
0,4,1,63.018,174.018,1,0,4665,8109,7406,7934,7942,845.8779999999999,221.10950000000003,1863.764
1,1,2,132.0,165.0,1,0,4655,8099,7402,7928,7935,868.713,222.379,1975.282
2,5,3,198.0,174.0,1,0,4742,8245,7412,7950,7954,1043.4645,219.93099999999998,2003.526
3,9,4,263.945,179.572,1,0,4718,8124,7418,7842,7835,1453.3695,1323.854,2060.134
4,7,5,326.432,176.49,1,0,4603,8107,7420,7943,7935,863.5095,233.9635,1891.755
5,2,6,398.691,167.646,1,0,4714,8115,7409,7948,7942,1006.0930000000001,222.8915,1978.87
6,10,7,453.941,178.361,1,0,4668,8097,7401,7926,7930,873.3430000000001,220.89,1969.446
7,11,8,519.31,179.441,1,0,4523,8080,7403,7903,7911,1029.473,225.7065,1992.808
8,8,9,583.235,177.587,1,0,4635,8105,7414,7933,7932,870.3679999999999,227.70499999999998,1937.969
9,6,10,662.57,174.793,1,0,4653,8127,7416,7945,7951,931.371,221.71949999999998,1983.349
10,3,11,710.866,173.221,1,0,4600,8101,7414,7931,7932,968.127,222.86700000000002,1979.514
11,15,12,778.886,186.135,1,0,4581,8098,7407,7934,7922,841.6825,224.858,1858.617
12,17,13,841.297,191.295,1,0,4625,8047,7397,7930,7923,588.9965,221.65750000000003,1936.452
13,16,14,903.818,186.241,1,0,4613,8113,7395,7931,7929,912.5805,232.2465,1981.055
14,14,15,966.924,184.602,1,0,4583,8105,7393,7937,7926,1044.5965,224.439,2006.336
15,13,16,1033.335,183.669,1,0,4614,8110,7394,7940,7935,929.9395,221.99,1994.076
16,20,17,1098.246,193.058,1,0,4637,8116,7394,7928,7937,1009.9895,217.1755,2000.046
17,12,18,1163.117,179.902,1,0,4621,8102,7414,7926,7922,827.9594999999999,218.3485,1830.931
18,18,19,1225.393,191.455,1,0,4724,8095,7412,7928,7924,700.3265,232.7115,1733.589
19,21,20,1293.233,193.052,1,0,4663,8110,7405,7926,7936,757.963,225.8025,1880.724
20,26,21,1358.564,198.17,1,0,4620,8087,7412,7925,7927,701.7935,225.0785,1796.953
21,22,22,1423.791,194.544,1,0,4717,8106,7423,7931,7933,748.9675,222.61200000000002,1743.391
22,25,23,1486.645,195.422,1,0,4721,8118,7421,7941,7941,722.49,228.0335,1663.237
23,19,24,1555.634,190.74,1,0,4793,8043,7410,7945,7937,402.79449999999997,224.99099999999999,1685.242
24,29,25,1619.789,200.321,1,0,4699,8107,7415,7928,7927,761.7615,227.3655,1741.078
25,23,26,1682.734,196.325,1,0,4662,8100,7416,7941,7932,717.8025,216.892,1794.316
26,28,27,1753.522,200.163,1,0,4830,8137,7418,7940,7940,722.0305000000001,221.5245,1688.081
27,30,28,1815.415,203.695,1,0,4789,8117,7425,7934,7936,737.0835,223.818,1648.884
28,24,29,1884.673,195.723,1,0,4754,8132,7426,7922,7932,711.5889999999999,231.542,1672.229
29,31,30,1952.895,204.105,1,0,4781,8133,7421,7917,7927,695.8505,220.39600000000002,1665.182
30,27,31,2017.431,199.001,1,0,4826,8094,7421,7915,7921,551.922,223.986,1675.165
31,35,32,2081.492,210.987,1,0,4843,8110,7410,7925,7934,734.406,223.0645,1706.948
32,33,33,2148.555,209.425,1,0,4751,8116,7415,7943,7937,721.3154999999999,220.8725,1688.467
33,32,34,2212.802,204.279,1,0,4816,8110,7414,7942,7933,775.351,223.7095,1704.599
34,34,35,2279.008,209.05,1,0,4778,8102,7418,7932,7932,662.8515,226.923,1661.501
35,36,36,2346.0,213.0,1,0,4776,8104,7407,7928,7928,811.3620000000001,222.966,1732.605
36,38,37,2414.95,218.306,1,0,4757,8093,7394,7867,7871,1074.2935,594.7985,1836.795
37,37,38,2481.0,213.0,1,0,4835,8118,7412,7939,7922,811.144,226.3525,1771.079
38,39,39,86.389,611.775,2,0,4484,8091,7397,7924,7928,898.476,222.44299999999998,1877.501
39,43,40,150.793,618.583,2,0,4421,8090,7393,7918,7912,922.5,229.392,1849.717
40,41,41,214.537,613.297,2,0,4523,8081,7415,7919,7924,819.784,223.6255,1809.707
41,44,42,275.809,618.386,2,0,4484,8088,7424,7901,7910,911.384,384.96950000000004,1776.688
42,40,43,343.076,612.426,2,0,4481,8093,7396,7930,7929,919.5225,229.3515,1872.916
43,49,44,407.204,625.207,2,0,4504,8082,7417,7912,7910,886.2605000000001,244.52499999999998,1812.248
44,42,45,467.385,615.461,2,0,4494,8086,7413,7928,7924,811.3720000000001,225.69549999999998,1771.165
45,45,46,529.323,622.99,2,0,4471,8072,7411,7915,7915,759.937,224.901,1775.952
46,48,47,594.503,624.367,2,0,4431,8080,7408,7912,7901,725.2815,249.649,1688.947
47,46,48,655.201,622.052,2,0,4424,8081,7407,7923,7914,816.9975,226.7445,1796.573
48,51,49,718.46,627.204,2,0,4470,8075,7407,7926,7926,799.4615,223.865,1813.109
49,50,50,781.73,625.763,2,0,4483,8073,7409,7915,7919,758.0785000000001,226.552,1755.102
50,56,51,843.036,632.324,2,0,4377,8072,7403,7925,7911,762.4695,226.09,1779.542
51,47,52,905.554,626.424,2,0,4420,8072,7407,7885,7886,614.5575,212.365,1587.975
52,57,53,974.577,631.906,2,0,4532,8090,7421,7914,7916,585.0035,216.2735,1509.335
53,59,54,1035.294,638.0,2,0,4429,8049,7374,7872,7870,718.2225,215.641,1659.778
54,61,55,1099.601,639.838,2,0,3870,7991,7378,7831,7837,593.5185,220.8115,1618.459
55,54,56,1161.384,631.382,2,0,4458,8067,7418,7909,7916,662.1635000000001,219.914,1705.161
56,55,57,1354.632,631.426,2,0,4377,8049,7404,7902,7900,662.8285000000001,225.0125,1703.16
57,52,58,1418.886,631.397,2,0,4577,8076,7418,7921,7923,539.8995,223.786,1530.581
58,60,59,1481.77,639.892,2,0,4429,8068,7403,7902,7905,744.5735,227.266,1693.639
59,62,60,1552.339,641.543,2,0,4524,8056,7415,7878,7884,582.0944999999999,217.2735,1548.861
60,53,61,1614.047,631.529,2,0,4477,8058,7400,7879,7885,717.9190000000001,220.237,1650.599
61,65,62,1677.077,645.304,2,0,4494,8061,7418,7883,7903,528.4014999999999,215.04899999999998,1535.518
62,71,63,1745.748,653.572,2,0,4672,8091,7409,7922,7914,601.701,224.314,1528.899
63,58,64,1805.351,636.738,2,0,4615,8091,7414,7896,7903,569.9915000000001,227.524,1556.527
64,64,65,1871.573,645.337,2,0,4604,8076,7417,7906,7912,583.4365,213.9975,1533.197
65,67,66,1936.302,649.47,2,0,4678,8082,7408,7906,7913,664.7674999999999,228.91750000000002,1645.417
66,63,67,2016.589,642.462,2,0,4592,8073,7408,7899,7893,573.901,222.40949999999998,1529.171
67,68,68,2069.862,652.142,2,0,4705,8111,7423,7932,7928,609.2175,229.55200000000002,1552.202
68,69,69,2138.02,652.996,2,0,4622,8097,7410,7931,7923,665.0395,224.4755,1583.524
69,72,70,2204.372,655.22,2,0,4618,8079,7402,7918,7909,810.898,228.026,1727.095
70,66,71,2267.879,648.425,2,0,4594,8077,7418,7900,7915,529.4705,218.575,1511.638
71,73,72,2334.014,653.726,2,0,4691,8093,7413,7913,7923,652.3240000000001,230.813,1598.592
72,74,73,2402.719,654.137,2,0,4667,8084,7401,7913,7921,686.0325,227.002,1676.129
73,70,74,2469.711,652.115,2,0,4656,8082,7402,7913,7915,746.0025,223.1755,1726.66
74,75,75,85.622,1048.403,3,0,4603,8099,7411,7928,7926,841.729,217.88600000000002,1677.4
75,80,76,148.312,1053.476,3,0,4322,8057,7398,7902,7894,728.3695,221.21949999999998,1635.632
76,77,77,213.873,1050.952,3,0,4517,8083,7395,7913,7913,770.3545,219.224,1701.396
77,81,78,280.61,1053.189,3,0,4827,8115,7411,7935,7931,720.1179999999999,217.92700000000002,1636.811
78,82,79,338.753,1053.478,3,0,4439,8075,7409,7908,7916,690.6415,222.381,1648.51
79,83,80,408.608,1054.178,3,0,4530,8092,7403,7920,7918,831.74,218.274,1681.744
80,85,81,468.823,1054.874,3,0,4634,8103,7399,7930,7937,769.1405,222.4245,1700.868
81,78,82,529.987,1051.177,3,0,4594,8107,7411,7938,7923,741.6265,224.303,1656.584
82,84,83,591.021,1052.685,3,0,4528,8083,7405,7925,7918,740.0229999999999,221.9495,1668.051
83,79,84,641.19,1052.213,3,0,4624,8110,7454,7956,7952,1525.7275,1340.608,2100.542
84,76,85,721.389,1048.27,3,0,4614,8096,7417,7938,7925,739.4395,226.36599999999999,1639.29
85,88,86,782.245,1060.715,3,0,4527,8074,7419,7905,7915,653.8505,227.672,1545.969
86,87,87,841.433,1059.57,3,0,4513,8108,7422,7910,7909,657.975,222.1055,1549.98
87,86,88,908.636,1058.59,3,0,4593,8068,7429,7922,7923,570.8785,222.9095,1559.157
88,89,89,970.386,1061.709,3,0,4564,8073,7424,7927,7919,662.7185,220.9665,1525.371
89,90,90,1034.411,1063.659,3,0,4528,8077,7417,7904,7914,684.1005,225.998,1532.672
90,93,91,1100.383,1066.838,3,0,4686,8074,7404,7914,7900,654.5325,216.68900000000002,1602.997
91,98,92,1168.4,1070.281,3,0,4611,8088,7420,7896,7904,625.6015,223.09500000000003,1521.998
92,92,93,1227.561,1064.722,3,0,4517,8065,7418,7905,7906,660.032,219.2215,1533.8
93,95,94,1293.057,1067.948,3,0,4774,8079,7407,7916,7915,638.6835,220.713,1594.146
94,102,95,1358.452,1071.881,3,0,4641,8078,7413,7916,7914,609.114,219.4485,1538.458
95,99,96,1419.059,1071.125,3,0,4552,8059,7407,7887,7884,614.1685,218.369,1551.743
96,96,97,1484.398,1068.23,3,0,4708,8085,7414,7920,7915,653.063,217.938,1589.269
97,104,98,1558.226,1080.46,3,0,4590,8085,7419,7905,7908,650.5185,220.974,1509.817
98,91,99,1620.707,1064.45,3,0,4650,8080,7417,7914,7908,602.8534999999999,220.61950000000002,1545.448
99,97,100,1686.417,1070.218,3,0,4695,8082,7412,7918,7921,664.738,217.1,1597.547
100,100,101,1749.095,1071.321,3,0,4733,8080,7392,7907,7902,852.1895,215.63049999999998,1722.23
101,94,102,1816.453,1068.206,3,0,4661,8088,7416,7908,7922,623.845,222.155,1535.173
102,103,103,1881.911,1076.066,3,0,4756,8079,7399,7903,7916,656.726,218.4395,1642.295
103,105,104,1950.776,1081.37,3,0,4569,8077,7404,7901,7900,675.7550000000001,217.309,1574.774
104,106,105,2011.31,1083.488,3,0,4842,8115,7399,7917,7927,759.6545,214.481,1659.327
105,107,106,2072.599,1083.122,3,0,4910,8137,7409,7943,7940,775.673,215.952,1668.004
106,101,107,2147.009,1071.863,3,0,4747,8093,7397,7925,7921,830.832,220.905,1703.1
107,110,108,2210.253,1085.295,3,0,4782,8094,7383,7920,7923,935.6635,223.88299999999998,1841.337
108,111,109,2280.683,1086.828,3,0,4765,8093,7379,7930,7921,951.329,219.10199999999998,1909.084
109,108,110,2347.788,1083.963,3,0,4733,8093,7394,7917,7919,870.8575,220.32850000000002,1772.641
110,113,111,2416.333,1092.532,3,0,4747,8092,7393,7926,7922,900.577,219.2945,1801.976
111,109,112,2481.555,1084.273,3,0,4795,8081,7381,7919,7915,747.3375,267.658,1985.986
112,112,113,2543.706,1090.729,3,0,4750,8086,7385,7934,7921,931.8165,227.209,1874.066
113,119,114,100.266,1455.918,4,0,4544,8088,7426,7921,7924,719.1690000000001,217.3105,1533.05
114,115,115,170.3,1451.508,4,0,4488,8107,7409,7934,7935,747.1030000000001,214.5645,1587.747
115,122,116,228.33,1458.374,4,0,4529,8077,7427,7927,7923,669.3554999999999,214.565,1538.887
116,120,117,286.375,1455.856,4,0,4553,8092,7440,7935,7932,710.0355,215.543,1526.527
117,114,118,347.614,1446.459,4,0,4503,8083,7429,7923,7925,734.1695,214.083,1540.432
118,121,119,414.629,1457.923,4,0,4527,8069,7412,7925,7919,636.8005,214.78,1552.556
119,117,120,474.705,1454.922,4,0,4599,8107,7437,7948,7944,705.8915,211.471,1532.809
120,124,121,537.828,1459.672,4,0,4496,8083,7432,7931,7928,687.9235000000001,218.6555,1529.819
121,118,122,603.196,1455.822,4,0,4589,8120,7429,7945,7948,713.4749999999999,212.6145,1539.602
122,116,123,667.052,1454.226,4,0,4493,8071,7426,7907,7913,692.8135,214.5275,1538.286
123,123,124,729.603,1458.822,4,0,4483,8087,7433,7922,7926,756.4395,217.2505,1541.495
124,132,125,798.364,1468.267,4,0,4341,8057,7428,7906,7907,569.976,216.628,1488.8
125,126,126,852.103,1464.484,4,0,4591,8109,7440,7930,7932,645.7909999999999,215.221,1496.516
126,127,127,917.183,1466.074,4,0,4488,8091,7437,7933,7924,641.8340000000001,215.844,1483.974
127,125,128,977.289,1462.436,4,0,4714,8083,7394,7928,7925,746.3645,218.02300000000002,1712.099
128,129,129,1044.551,1465.306,4,0,4485,8078,7426,7918,7919,621.861,217.327,1509.813
129,135,130,1106.063,1470.126,4,0,4700,8084,7389,7922,7914,770.4175,215.7695,1710.057
130,131,131,1168.093,1467.815,4,0,4506,8071,7415,7899,7905,683.748,225.503,1547.002
131,136,132,1240.793,1471.742,4,0,4539,8088,7438,7928,7927,675.8785,212.792,1498.045
132,138,133,1296.111,1473.527,4,0,4617,8083,7415,7908,7909,667.101,215.743,1580.038
133,139,134,1361.275,1473.517,4,0,4778,8104,7379,7916,7921,851.563,215.978,1791.379
134,133,135,1424.37,1469.161,4,0,4530,8090,7429,7920,7917,653.6025,213.2135,1511.188
135,142,136,1487.96,1477.463,4,0,4580,8075,7421,7910,7920,613.3775,215.829,1515.533
136,137,137,1562.223,1472.556,4,0,4606,8095,7403,7933,7918,733.3679999999999,219.69400000000002,1648.038
137,140,138,1615.646,1475.543,4,0,4582,8092,7429,7924,7920,617.85,215.4835,1519.691
138,144,139,1683.015,1480.06,4,0,4710,8098,7423,7912,7922,670.3715,217.546,1539.433
139,130,140,1752.307,1466.704,4,0,4617,8097,7415,7940,7933,693.2055,219.20850000000002,1656.505
140,128,141,1816.186,1465.626,4,0,4682,8090,7376,7905,7906,882.329,216.5425,1782.718
141,143,142,1876.337,1477.441,4,0,4436,8060,7406,7905,7903,649.0205,215.61399999999998,1617.256
142,141,143,1945.191,1474.783,4,0,4730,8099,7390,7918,7921,813.0105,218.221,1754.853
143,148,144,2013.29,1488.76,4,0,4611,8067,7400,7936,7912,665.485,219.198,1684.688
144,134,145,2069.459,1470.979,4,0,4603,8068,7375,7901,7904,856.043,216.845,1840.036
145,145,146,2141.449,1484.835,4,0,4686,8070,7377,7910,7906,940.037,217.378,1855.385
146,146,147,2207.058,1485.521,4,0,4739,8079,7381,7912,7905,968.3979999999999,244.156,1932.061
147,152,148,2282.515,1494.112,4,0,4894,8109,7382,7940,7935,834.994,216.032,1786.207
148,151,149,2343.9,1491.736,4,0,4762,8094,7375,7924,7919,945.6845000000001,221.68349999999998,1910.24
149,149,150,2408.956,1488.817,4,0,4759,8095,7384,7896,7892,1075.6005,485.96349999999995,1998.72
150,150,151,2472.819,1489.71,4,0,4759,8088,7376,7915,7925,901.3645,222.868,1885.414
151,147,152,2537.908,1488.219,4,0,4689,8090,7378,7936,7927,946.0735,279.432,1848.228
152,153,153,32.723,1878.989,5,0,4586,8223,7448,7937,7943,740.9159999999999,295.787,1433.411
153,154,154,98.536,1889.547,5,0,4499,8056,7426,7924,7926,589.3695,218.44299999999998,1472.971
154,158,155,175.6,1896.158,5,0,4478,8093,7429,7921,7923,811.2355,211.46499999999997,1487.505
155,163,156,227.741,1900.868,5,0,4417,8078,7437,7929,7922,747.5550000000001,211.262,1486.421
156,162,157,290.126,1900.296,5,0,4524,8076,7451,7920,7924,735.6434999999999,216.5765,1473.204
157,159,158,350.32,1897.546,5,0,4478,8092,7409,7927,7927,761.6415,212.981,1510.156
158,155,159,409.914,1891.471,5,0,4577,8117,7445,7934,7942,790.2950000000001,214.024,1462.57
159,164,160,480.558,1905.263,5,0,4459,8087,7431,7921,7915,789.2945,216.1585,1526.114
160,156,161,540.32,1896.668,5,0,4504,8093,7444,7924,7927,759.396,224.81799999999998,1489.59
161,157,162,603.557,1898.075,5,0,4577,8112,7445,7934,7932,815.9100000000001,211.09050000000002,1466.255
162,161,163,665.258,1901.004,5,0,4544,8157,7448,7949,7951,783.765,219.79500000000002,1473.466
163,165,164,728.37,1906.309,5,0,4403,8085,7428,7918,7916,791.2384999999999,209.872,1489.357
164,160,165,794.643,1899.756,5,0,4453,8082,7441,7910,7918,771.1675,213.9135,1491.427
165,171,166,855.024,1913.646,5,0,4541,8078,7438,7921,7916,750.6635,214.9225,1521.412
166,168,167,921.579,1910.969,5,0,4596,8061,7396,7904,7907,806.3695,227.7075,1696.028
167,166,168,980.439,1908.173,5,0,4471,8079,7437,7909,7917,734.2235000000001,217.963,1513.402
168,173,169,1047.356,1915.647,5,0,4448,8072,7428,7909,7909,767.5625,209.18599999999998,1548.605
169,169,170,1109.871,1911.957,5,0,4497,8069,7417,7913,7909,796.879,212.013,1592.243
170,172,171,1175.436,1915.149,5,0,4484,8077,7442,7928,7922,716.101,213.7455,1507.577
171,170,172,1237.015,1911.949,5,0,4473,8073,7421,7909,7911,786.859,211.2145,1591.009
172,177,173,1300.87,1920.145,5,0,4450,8075,7425,7912,7907,792.886,212.29399999999998,1551.349
173,176,174,1367.47,1918.739,5,0,4508,8060,7408,7906,7897,853.3634999999999,227.422,1644.917
174,178,175,1431.232,1923.208,5,0,4653,8070,7385,7907,7913,780.7655,217.6535,1721.006
175,174,176,1493.86,1918.409,5,0,4491,8071,7413,7906,7908,849.635,215.3585,1620.709
176,167,177,1567.245,1909.623,5,0,4532,8080,7417,7906,7904,848.6285,211.2775,1604.466
177,179,178,1622.699,1922.23,5,0,4599,8081,7420,7918,7909,828.415,215.3145,1607.921
178,182,179,1689.694,1926.558,5,0,4637,8110,7401,7912,7913,842.3040000000001,212.5075,1696.696
179,180,180,1755.158,1925.34,5,0,4636,8072,7389,7897,7911,815.1295,220.385,1720.657
180,184,181,1823.566,1928.157,5,0,4705,8060,7381,7900,7891,799.2835,215.15800000000002,1733.726
181,175,182,1883.27,1917.949,5,0,4596,8067,7390,7908,7903,819.22,216.918,1711.738
182,183,183,1950.742,1926.911,5,0,4689,8058,7387,7898,7904,742.8344999999999,214.4355,1720.066
183,185,184,2018.169,1933.389,5,0,4714,8112,7391,7906,7910,826.7795000000001,215.575,1714.9
184,181,185,2081.874,1926.051,5,0,4705,8087,7392,7912,7908,811.2565,221.048,1713.203
185,189,186,2154.047,1936.028,5,0,4667,8077,7382,7924,7920,893.107,310.125,1786.559
186,187,187,2217.207,1934.668,5,0,4657,8064,7379,7898,7907,775.1020000000001,217.686,1782.913
187,188,188,2284.332,1934.427,5,0,109,8089,7426,7917,7910,888.8040000000001,221.45499999999998,1601.93
188,186,189,2346.539,1933.679,5,0,4674,8087,7373,7910,7901,870.624,212.42149999999998,1781.82
189,190,190,2416.5,1939.5,5,0,103,8069,7471,7901,7899,892.2965,220.709,1557.781
190,191,191,2493.462,1939.418,5,0,4700,8060,7403,7727,7728,1126.246,902.4805,1579.783
